,Admitted Per Year,Applied Per Year,Average GPA,Average Years to Degree,BYU Undergraduate,Female,GMAT Analytical Percentile,GMAT Analytical Score,GMAT Composite Score,GMAT Integrated Percentile,GMAT Integrated Score,GMAT Quantitative Percentile,GMAT Quantitative Score,GMAT Verbal Percentile,GMAT Verbal Score,GRE Analytical Percentile,GRE Analytical Score,GRE Composite Score,GRE Quantitative Percentile,GRE Quantitative Score,GRE Verbal Percentile,GRE Verbal Score,Graduated Per Year,International,LDS,LSAT Composite Score,Non-White,Percent Admitted,Program,Total Students
66,3.3,4.6,3.60,4.0,1,6,,,,,,,,,,70.8,4.4,312.0,55.4,153.8,78.0,158.2,2.8,2,10,,3,70.65,Physiology and Developmental Biology (PhD),10
67,3.0,4.4,3.74,2.1,6,5,,,,,,,,,,,,,,,,,3.0,2,6,,2,68.18,Portuguese (MA),6
68,,,,3.0,4,5,,,,,,,,,,,,,,,,,7.2,2,6,,1,0.00,Psychology (MS),8
69,6.4,16.0,3.72,4.6,10,9,,,,,,,,,,67.7,4.3,315.4,63.2,155.9,80.1,159.5,3.2,0,16,,1,40.00,Psychology (PhD),20
70,10.0,48.2,3.78,5.5,13,24,,,,,,,,,,66.0,4.4,315.8,63.1,156.3,78.8,159.5,8.2,4,28,,9,20.75,Psychology - Clinical (PhD),39
71,62.6,92.6,3.62,1.8,61,48,49.3,4.3,540.5,49.8,4.8,35.2,33.4,60.0,30.7,63.9,4.2,309.5,50.4,152.6,71.4,156.9,46.0,10,103,,31,67.60,Public Administration (MPA),103
72,50.0,62.4,3.32,2.7,80,59,,,,,,,,,,,,,,,,,45.2,3,126,,23,80.13,Public Administration - Executive Program (MPA),126
73,15.0,37.2,3.73,2.0,12,20,,,,,,,,,,62.9,4.2,309.2,50.5,152.7,69.8,156.5,12.4,4,25,,8,40.32,Public Health (MPH),26
74,13.0,23.0,3.46,3.6,10,2,,,,,,,,,,67.8,4.3,296.8,40.9,138.4,78.2,158.3,5.7,0,19,,1,56.52,Religious Education (MA),19
75,4.0,6.3,3.42,1.8,4,1,,,,,,,,,,65.2,4.2,304.9,39.5,149.9,66.4,155.0,3.3,0,7,,3,64.00,Religious Studies - Chaplaincy (MA),7
76,13.6,25.6,3.66,3.2,23,34,,,,,,,,,,55.9,4.0,304.8,41.4,150.2,64.1,154.6,9.6,1,40,,9,53.13,School Psychology (EdS),40
77,5.0,7.4,3.67,2.5,4,4,,,,,,,,,,58.9,4.1,306.1,41.2,149.9,67.6,156.1,4.4,3,9,,2,67.57,Second Language Teaching SLaT (MA),9
78,47.0,114.2,3.76,1.7,40,61,,,,,,,,,,,,,,,,,38.2,5,80,,12,41.16,Social Work (MSW),80
79,9.6,12.8,3.69,2.3,8,7,,,,,,,,,,75.4,4.6,311.7,52.3,153.2,77.6,158.5,8.2,2,9,,4,75.00,Sociology (MS),9
80,11.8,17.8,3.70,2.5,22,16,,,,,,,,,,,,,,,,,10.0,3,32,,14,66.29,Spanish (MA),32
81,9.7,11.7,3.59,3.1,13,15,,,,,,,,,,61.2,4.2,304.2,42.0,150.1,62.1,154.2,4.0,3,17,,3,82.86,Special Education (MS),17
82,13.6,23.4,3.75,1.3,12,5,,,,,,,,,,58.6,4.1,321.2,84.4,162.8,75.5,158.3,12.8,0,14,,2,58.12,Statistics (MS),14
83,4.0,14.0,3.59,2.8,3,4,,,,,,,,,,,,,,,,,3.5,2,8,,2,28.57,Studio Art (MFA),8
84,17.0,22.0,3.62,2.9,13,16,,,,,,,,,,63.9,4.2,304.4,38.0,149.4,65.2,155.1,6.6,0,19,,2,77.27,Teacher Education (MA),19
85,15.8,19.2,3.55,3.0,19,32,,,,,,,,,,55.5,4.0,306.4,41.5,149.9,69.0,156.5,12.2,7,34,,12,82.29,Teaching English To Speakers of Other Languages (MA),35
86,18.6,27.0,3.40,2.6,39,5,,,,,,,,,,56.1,4.0,311.9,64.4,156.4,67.5,155.5,12.8,1,44,,9,68.89,Technology (MS),44
87,6.0,12.2,3.61,3.3,14,7,,,,,,,,,,64.2,4.3,314.1,60.8,155.4,75.4,158.6,6.0,1,20,,3,49.18,Wildlife and Wildlands Conservation (MS),21
88,2.6,4.0,3.58,6.8,5,4,,,,,,,,,,43.8,3.7,310.1,57.5,154.4,67.4,155.8,1.5,2,13,,2,65.00,Wildlife and Wildlands Conservation (PhD),14
